지역명(한글),STN ID,위도(LAT),경도(LON),관측종류,제공 정보,해수면온도+유의파고,기온+풍향+풍속,미제공 정보
삽시도,22445,36.35570000,126.35480000,C,,,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
가파도,22476,33.16250000,126.26300000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
우도,22469,33.51220000,126.63380000,C,,,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
중문,22458,33.22500000,126.39180000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
비안도,22492,35.74000000,126.35250000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
간절곶,22483,35.36680000,129.37500000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
독도,22441,37.23700000,131.86980000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
낙월,22494,35.20070000,126.21030000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
오륙도,22459,35.09480000,129.12820000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
다대포,22460,35.02220000,128.95570000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
사량도,22501,34.86020000,128.13950000,C,WH(유의파고),,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
영락,22505,33.23920000,126.19370000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
신산,22495,33.37780000,126.90630000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
나로도,22502,34.43220000,127.58920000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
남해,22498,34.69630000,127.99300000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
위도동부,22510,35.81270000,126.39900000,C,,,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
위도,22504,35.65820000,126.26130000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
장봉도,22496,37.49000000,126.35280000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
변산,22497,35.65870000,126.45930000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
울릉서부,22506,37.49350000,130.91020000,C,,,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
불무도,22503,34.31800000,126.17330000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
초도,22507,34.15120000,127.21730000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
조도,22500,34.28700000,126.11500000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
장안퇴,22509,37.03300000,126.28280000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
두미도,22450,34.70920000,128.14950000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
천수만,22487,36.46720000,126.44030000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
한산도,22467,34.70580000,128.49700000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
맹방,22479,37.40130000,129.22920000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
연화도,22499,34.67400000,128.36550000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
기장,22511,35.21950000,129.26500000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
지심도,22512,34.82780000,128.77580000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
이수도,22513,34.97280000,128.75770000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
구엄,22514,33.52050000,126.37470000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
위미,22515,33.22330000,126.70980000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
당사,22518,35.57880000,129.50320000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
고성,22519,38.31800000,128.64400000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
삼척,22521,37.46350000,129.31970000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
연평도,22522,37.61900000,125.64830000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
죽변,22523,37.10250000,129.46000000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
구룡포,22524,35.96750000,129.59930000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
볼음도,22525,37.61150000,126.13400000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
녹도,22526,36.26380000,126.20730000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
서수도,955,37.32500000,126.39333333,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
가대암,956,36.77000000,125.97670000,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
십이동파,957,35.98666667,126.22500000,L,"TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), PA(해면기압), TW(해수면온도), WH(유의파고)"
갈매여,958,35.61333333,126.24500000,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
해수서,959,34.26333333,126.02666667,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
지귀도,960,33.22333000,126.65420000,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
간여암,961,34.28500000,127.85778000,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
이덕서,963,35.56670000,129.47500000,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
오륙도,984,35.09100000,129.12700000,L,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
백령도,23102,37.95560000,124.73610000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
연평도,23108,37.65770000,125.71440000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
포항,37716,36.01777778,129.39916667,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
삼천포,52565,34.92405600,128.06972200,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
왕돌초,132129,36.71667000,129.73500000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
부산,158650,35.09305556,129.03750000,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
속초,217800,38.20444444,128.59666667,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
묵호,240050,37.54750000,129.11861111,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
동해항,240130,37.49500000,129.14390000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
서천(마량),325894,36.12860000,126.49560000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
장항,325903,36.00694444,126.68750000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
보령,355844,36.40305555,126.48805550,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
대산,356870,37.00472222,126.35444444,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
태안,357914,36.91330000,126.23860000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
안흥,357945,36.67000000,126.13500000,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
인천,400031,37.44916667,126.59416667,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
영종대교,404170,37.55390000,126.60800000,N,PA(해면기압),,,"HM(상대습도), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
인천(송도),406800,37.33810000,126.58610000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
영흥도,409870,37.23670000,126.43140000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
강화대교,417820,37.73190000,126.52250000,N,PA(해면기압),,,"HM(상대습도), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
안산,445310,37.18944444,126.64972222,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
평택,451821,36.96388889,126.82472222,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
영광,513800,34.77666667,126.39388889,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
부산신항,516090,35.07440000,128.78690000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
목포,530350,34.77805556,126.39250000,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
대흑산도,535951,34.68388889,125.43583330,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
완도,537800,34.31250000,126.76138889,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
진도,539800,34.37770000,126.30860000,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
광양,545711,34.90342000,127.75483000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
고흥,548893,34.47666667,127.34750000,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
여수,550070,34.74416667,127.76805555,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
거문도,556851,34.02500000,127.31083333,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
군산외항,573400,35.96833333,126.62666667,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
어청도,573819,36.11690000,125.98470000,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
위도,579911,35.61530000,126.30390000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
가덕도,618440,35.02166667,128.81305556,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
거제도,626800,34.79888889,128.70166667,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
마산,630651,35.19694444,128.58000000,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
진해군항,645600,35.14722000,128.64306000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
통영,650804,34.82472222,128.43694444,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
교본초,650940,34.70167000,128.31000000,N,"PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), TW(해수면온도), WH(유의파고)"
추자도,680050,33.95861111,126.30222222,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
제주,690704,33.52416667,126.54527778,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
울산,695851,35.50055556,129.38944444,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
서귀포,697010,33.23666667,126.56361111,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
