﻿Code,Name,Latitude,Longitude,station_id,station_name,station_latitude,station_longitude,a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),a_제공 정보,b_STN ID,b_위도(LAT),b_경도(LON),b_제공 정보
SO_0576,화봉리,34.661111,126.256944,530350,목포,34.7781,126.393,신안,22183,34.7333,126.2417,HM(상대습도),22183,34.7333,126.2417,HM(상대습도)
SO_0577,가거도,34.050833,125.128889,22297,가거도,34.0275,125.215,홍도,22298,34.746667,125.245556,HM(상대습도),535951,34.68388889,125.4358333,PA(해면기압)
SO_0578,소매물도,34.621944,128.548056,22485,소매물도,34.6214,128.538,소매물도,22485,34.6205,128.5383,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
SO_0581,강양항,35.39,129.344722,22483,간절곶,35.3665,129.375,간절곶,22483,35.3668,129.375,TW(해수면온도),695851,35.50055556,129.3894444,PA(해면기압)
SO_0631,암태도,34.853056,126.071389,22183,신안,34.7333,126.242,대치마도,22489,35.0173,126.0322,TW(해수면온도),22183,34.7333,126.2417,HM(상대습도)
SO_0699,천리포항,36.803889,126.146944,22520,강릉,37.7963,129.062,신진도,22444,36.6048,126.1265,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
SO_0701,홍도항,34.681111,125.195,22298,홍도,34.7467,125.246,홍도,22298,34.746667,125.245556,HM(상대습도),22298,34.746667,125.245556,HM(상대습도)
SO_0702,진도옥도,34.350833,126.018611,539800,진도,34.3777,126.309,진도,22449,34.4413,126.056,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
SO_0703,땅끝항,34.298889,126.531111,33013,해남,34.3157,126.515,노화도,22477,34.2413,126.4915,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0704,소안항,34.15,126.631944,537800,완도,34.3125,126.761,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0705,마량항,34.448889,126.821944,537800,완도,34.3125,126.761,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0706,청산도,34.180833,126.856111,22456,청산도,34.139,126.741,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0707,시산항,34.394444,127.261667,548893,고흥,34.4767,127.348,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0708,안도항,34.479722,127.797778,22466,금오도,34.5668,127.776,금오도,22466,34.5667,127.7765,TW(해수면온도),961,34.285,127.85778,PA(해면기압)
SO_0709,두문포,34.643611,127.7975,22466,금오도,34.5668,127.776,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
SO_0710,봉우항,34.932778,127.9275,550070,여수,34.7442,127.768,남해,22498,34.6963,127.993,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
SO_0711,창선도,34.840556,128.019444,22498,남해,34.6965,127.992,남해,22498,34.6963,127.993,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
SO_0712,능양항,34.812222,128.245,22498,남해,34.6965,127.992,두미도,22450,34.7092,128.1495,TW(해수면온도),650940,34.70167,128.31,PA(해면기압)
SO_0731,대진항,38.501389,128.426167,217800,속초,38.2044,128.597,토성,22471,38.2768,128.5755,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
SO_0732,남애항,37.944222,128.788333,217800,속초,38.2044,128.597,연곡,22451,37.8668,128.8857,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
SO_0733,강릉항,37.772278,128.951333,22520,강릉,37.7963,129.062,연곡,22451,37.8668,128.8857,TW(해수면온도),240050,37.5475,129.1186111,PA(해면기압)
SO_0734,궁촌항,37.327806,129.270028,22479,맹방,37.4013,129.229,맹방,22479,37.4013,129.2292,TW(해수면온도),240130,37.495,129.1439,PA(해면기압)
SO_0735,죽변항,37.054833,129.423917,22523,죽변,37.1028,129.459,죽변,22523,37.1025,129.46,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0736,축산항,36.509944,129.448139,33008,영덕,36.3387,129.383,후포,22465,36.7188,129.4882,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0737,강구항,36.358583,129.391306,33008,영덕,36.3387,129.383,월포,22490,36.2167,129.4013,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0738,여호항,34.661556,127.469556,550070,여수,34.7442,127.768,나로도,22502,34.4322,127.5892,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0739,도장항,34.367306,127.011972,550070,여수,34.7442,127.768,고흥,22478,34.3752,127.178,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0740,보옥항,34.129,126.513556,33013,해남,34.3157,126.515,노화도,22477,34.2413,126.4915,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
SO_0752,검산항,35,126.107778,530350,목포,34.7781,126.393,대치마도,22489,35.0173,126.0322,TW(해수면온도),22183,34.7333,126.2417,HM(상대습도)
SO_0753,하의도웅곡,34.608333,126.038611,22183,신안,34.7333,126.242,진도,22449,34.4413,126.056,TW(해수면온도),22183,34.7333,126.2417,HM(상대습도)
SO_0754,평호리,34.448056,126.455,537800,완도,34.3125,126.761,노화도,22477,34.2413,126.4915,TW(해수면온도),539800,34.3777,126.3086,PA(해면기압)
SO_0755,원동항,34.393889,126.648611,537800,완도,34.3125,126.761,노화도,22477,34.2413,126.4915,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0756,사초항,34.470278,126.761111,537800,완도,34.3125,126.761,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0757,안남리,34.730278,127.264444,548893,고흥,34.4767,127.348,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0758,달천도,34.761667,127.563056,548893,고흥,34.4767,127.348,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
SO_0759,장문리,34.873611,128.424167,545711,광양,34.9034,127.755,한산도,22467,34.7058,128.497,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
SO_0760,오산항,36.888889,129.416111,240130,동해항,37.495,129.144,후포,22465,36.7188,129.4882,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
SO_0761,녹동항,34.527028,127.134528,548893,고흥,34.4767,127.348,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
DT_0001,인천,37.451944,126.592222,22185,인천,37.0917,125.429,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0002,평택,36.966944,126.822778,451821,평택,36.9639,126.825,풍도,22303,37.15833,126.41,HM(상대습도),451821,36.96388889,126.8247222,PA(해면기압)
DT_0003,영광,35.426111,126.420556,22475,영광,35.4357,126.176,변산,22497,35.6587,126.4593,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0004,제주,33.5275,126.543056,690704,제주,33.5242,126.545,제주항,22457,33.5248,126.4943,TW(해수면온도),690704,33.52416667,126.5452778,PA(해면기압)
DT_0005,부산,35.096389,129.035278,158650,부산,35.0931,129.038,오륙도,22459,35.0948,129.1282,TW(해수면온도),158650,35.09305556,129.0375,PA(해면기압)
DT_0006,묵호,37.550278,129.116389,240050,묵호,37.5475,129.119,맹방,22479,37.4013,129.2292,TW(해수면온도),240050,37.5475,129.1186111,PA(해면기압)
DT_0007,목포,34.779722,126.375556,530350,목포,34.7781,126.393,신안,22183,34.7333,126.2417,HM(상대습도),530350,34.77805556,126.3925,PA(해면기압)
DT_0008,안산,37.192222,126.647222,445310,안산,37.1894,126.65,풍도,22303,37.15833,126.41,HM(상대습도),445310,37.18944444,126.6497222,PA(해면기압)
DT_0009,포항,36.047222,129.383889,22106,포항,36.35,129.783,월포,22490,36.2167,129.4013,TW(해수면온도),37716,36.01777778,129.3991667,PA(해면기압)
DT_0010,서귀포,33.24,126.561667,22187,서귀포,33.1281,127.023,위미,22515,33.2233,126.7098,TW(해수면온도),697010,33.23666667,126.5636111,PA(해면기압)
DT_0011,후포,36.6775,129.453056,767800,후포,36.6744,129.456,후포,22465,36.7188,129.4882,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
DT_0012,속초,38.207222,128.594167,217800,속초,38.2044,128.597,토성,22471,38.2768,128.5755,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
DT_0013,울릉도,37.491389,130.913611,21229,울릉도,37.4554,131.114,울릉읍,22464,37.4718,130.9003,TW(해수면온도),799801,37.49333333,130.9138889,PA(해면기압)
DT_0014,통영,34.827778,128.434722,22188,통영,34.3917,128.225,한산도,22467,34.7058,128.497,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
DT_0015,마산,35.21,128.588889,630651,마산,35.1969,128.58,이수도,22513,34.9728,128.7577,TW(해수면온도),630651,35.19694444,128.58,PA(해면기압)
DT_0016,여수,34.747222,127.765556,550070,여수,34.7442,127.768,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
DT_0017,대산,37.0075,126.352778,356870,대산,37.0047,126.354,장안퇴,22509,37.033,126.2828,TW(해수면온도),356870,37.00472222,126.3544444,PA(해면기압)
DT_0018,군산,35.975556,126.563056,22474,군산,35.8878,126.425,서천,22473,36.1668,126.333,TW(해수면온도),573400,35.96833333,126.6266667,PA(해면기압)
DT_0019,가덕도,35.024167,128.810833,618440,가덕도,35.0217,128.813,이수도,22513,34.9728,128.7577,TW(해수면온도),618440,35.02166667,128.8130556,PA(해면기압)
DT_0020,울산,35.501944,129.387222,22189,울산,35.3453,129.841,간절곶,22483,35.3668,129.375,TW(해수면온도),695851,35.50055556,129.3894444,PA(해면기압)
DT_0021,추자도,33.961944,126.300278,680050,추자도,33.9586,126.302,추자도,22468,33.9723,126.2785,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
DT_0022,성산포,33.474722,126.927778,699903,성산포,33.475,126.928,신산,22495,33.3778,126.9063,TW(해수면온도),699903,33.475,126.9277778,PA(해면기압)
DT_0023,모슬포,33.214444,126.251111,699835,모슬포,33.2144,126.251,가파도,22476,33.1625,126.263,TW(해수면온도),699835,33.21444444,126.2511111,PA(해면기압)
DT_0024,장항,36.006944,126.6875,325903,장항,36.0069,126.688,서천,22473,36.1668,126.333,TW(해수면온도),325903,36.00694444,126.6875,PA(해면기압)
DT_0025,보령,36.406389,126.486111,355844,보령,36.4031,126.488,천수만,22487,36.4672,126.4403,TW(해수면온도),355844,36.40305555,126.4880555,PA(해면기압)
DT_0026,고흥발포,34.481111,127.342778,548893,고흥,34.4767,127.348,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
DT_0027,완도,34.315556,126.759722,537800,완도,34.3125,126.761,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
DT_0028,진도,34.377778,126.308611,539800,진도,34.3777,126.309,불무도,22503,34.318,126.1733,TW(해수면온도),539800,34.3777,126.3086,PA(해면기압)
DT_0029,거제도,34.801389,128.699167,626800,거제도,34.7989,128.702,해금강,22455,34.7367,128.6908,TW(해수면온도),626800,34.79888889,128.7016667,PA(해면기압)
DT_0030,위도,35.618056,126.301667,22504,위도,35.6582,126.261,위도,22504,35.6582,126.2613,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0031,거문도,34.028333,127.308889,22103,거문도,34.0014,127.501,초도,22507,34.1512,127.2173,TW(해수면온도),556851,34.025,127.3108333,PA(해면기압)
DT_0032,강화대교,37.731944,126.522222,417820,강화대교,37.7319,126.522,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0034,안흥,36.673611,126.132222,357945,안흥,36.67,126.135,신진도,22444,36.6048,126.1265,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
DT_0035,흑산도,34.684167,125.435556,33010,흑산도,34.6509,125.393,홍도,22298,34.746667,125.245556,HM(상대습도),535951,34.68388889,125.4358333,PA(해면기압)
DT_0036,대청도,37.825222,124.718056,23102,백령도,37.9556,124.736,연평도,22522,37.619,125.6483,TW(해수면온도),23102,37.9556,124.7361,PA(해면기압)
DT_0037,어청도,36.117222,125.984722,573819,어청도,36.1169,125.985,녹도,22526,36.2638,126.2073,TW(해수면온도),573819,36.1169,125.9847,PA(해면기압)
DT_0038,굴업도,37.194444,125.995,573819,어청도,36.1169,125.985,덕적도,22101,37.2361,126.0188,HM(상대습도),22101,37.2361,126.0188,HM(상대습도)
DT_0039,왕돌초,36.719167,129.7325,132129,왕돌초,36.7167,129.735,울진,22190,36.9069,129.8744,HM(상대습도),132129,36.71667,129.735,PA(해면기압)
DT_0040,독도,37.238889,131.867222,22441,독도,37.2373,131.87,독도,22441,37.237,131.8698,TW(해수면온도),21229,37.4554,131.1144,HM(상대습도)
DT_0041,복사초,34.098333,126.168333,545711,광양,34.9034,127.755,추자도,22468,33.9723,126.2785,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
DT_0042,교본초,34.704722,128.306389,650940,교본초,34.7017,128.31,연화도,22499,34.674,128.3655,TW(해수면온도),650940,34.70167,128.31,PA(해면기압)
DT_0043,영흥도,37.238611,126.428611,409870,영흥도,37.2367,126.431,풍도,22303,37.15833,126.41,HM(상대습도),409870,37.2367,126.4314,PA(해면기압)
DT_0044,영종대교,37.545556,126.584444,404170,영종대교,37.5539,126.608,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0045,격렬비열도,36.624369,125.561964,22408,격렬비열도,36.6244,125.562,외연도,22108,36.25,125.75,HM(상대습도),22108,36.25,125.75,HM(상대습도)
DT_0046,쌍정초,37.55616,130.9392,799801,울릉도,37.4933,130.914,혈암,22442,37.541,130.8542,TW(해수면온도),799801,37.49333333,130.9138889,PA(해면기압)
DT_0047,도농탄,33.15806,126.2747,22476,가파도,33.1622,126.264,가파도,22476,33.1625,126.263,TW(해수면온도),699835,33.21444444,126.2511111,PA(해면기압)
DT_0048,속초등표,38.19948,128.6131,217800,속초,38.2044,128.597,토성,22471,38.2768,128.5755,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
DT_0049,광양,34.90367,127.7548,545711,광양,34.9034,127.755,남해,22498,34.6963,127.993,TW(해수면온도),545711,34.90342,127.75483,PA(해면기압)
DT_0050,태안,36.91306,126.2389,357914,태안,36.9133,126.239,장안퇴,22509,37.033,126.2828,TW(해수면온도),357914,36.9133,126.2386,PA(해면기압)
DT_0051,서천마량,36.12889,126.4953,325894,서천(마량),36.1286,126.496,서천,22473,36.1668,126.333,TW(해수면온도),325894,36.1286,126.4956,PA(해면기압)
DT_0052,인천송도,37.33806,126.5861,406800,인천(송도),37.3381,126.586,풍도,22303,37.15833,126.41,HM(상대습도),406800,37.3381,126.5861,PA(해면기압)
DT_0054,진해,35.14722,128.6431,645600,진해군항,35.1472,128.643,이수도,22513,34.9728,128.7577,TW(해수면온도),645600,35.14722,128.64306,PA(해면기압)
DT_0056,부산항신항,35.0775,128.7847,516090,부산신항,35.0744,128.787,이수도,22513,34.9728,128.7577,TW(해수면온도),516090,35.0744,128.7869,PA(해면기압)
DT_0057,동해항,37.49472,129.1439,240130,동해항,37.495,129.144,맹방,22479,37.4013,129.2292,TW(해수면온도),240130,37.495,129.1439,PA(해면기압)
DT_0058,경인항,37.56083,126.6011,404170,영종대교,37.5539,126.608,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0059,백령도,37.95565,124.7361,23102,백령도,37.9556,124.736,연평도,22522,37.619,125.6483,TW(해수면온도),23102,37.9556,124.7361,PA(해면기압)
DT_0060,연평도,37.65767,125.7144,23108,연평도,37.6577,125.714,연평도,22522,37.619,125.6483,TW(해수면온도),23108,37.6577,125.7144,PA(해면기압)
DT_0061,삼천포,34.92417,128.0697,52565,삼천포,34.9241,128.07,두미도,22450,34.7092,128.1495,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
DT_0062,마산,35.1975,128.5764,630651,마산,35.1969,128.58,이수도,22513,34.9728,128.7577,TW(해수면온도),630651,35.19694444,128.58,PA(해면기압)
DT_0063,가덕도,35.02418,128.8109,618440,가덕도,35.0217,128.813,이수도,22513,34.9728,128.7577,TW(해수면온도),618440,35.02166667,128.8130556,PA(해면기압)
DT_0064,교동대교,37.78961,126.3396,22303,풍도,37.1583,126.41,볼음도,22525,37.6115,126.134,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0065,덕적도,37.22633,126.1566,22101,덕적도,37.2361,126.019,이작도,22461,37.1648,126.2067,TW(해수면온도),22101,37.2361,126.0188,HM(상대습도)
DT_0067,안흥,36.67464,126.1296,357945,안흥,36.67,126.135,신진도,22444,36.6048,126.1265,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
DT_0068,위도,35.61808,126.3018,22504,위도,35.6582,126.261,위도,22504,35.6582,126.2613,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0091,포항,36.05178,129.3763,22106,포항,36.35,129.783,월포,22490,36.2167,129.4013,TW(해수면온도),37716,36.01777778,129.3991667,PA(해면기압)
DT_0092,여호항,34.66194,127.4692,550070,여수,34.7442,127.768,나로도,22502,34.4322,127.5892,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
DT_0093,소무의도,37.37307,126.4401,409870,영흥도,37.2367,126.431,장봉도,22496,37.49,126.3528,TW(해수면온도),955,37.325,126.3933333,PA(해면기압)
DT_0094,서거차도,34.25142,125.9155,22481,맹골수도,34.2267,125.954,맹골수도,22481,34.2265,125.9543,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
