﻿Code,Name,Latitude,Longitude,marine_reg_name,AddressA,AddressB,AddressC,a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),a_제공 정보,b_지역명(한글),b_STN ID,b_위도(LAT),b_경도(LON),b_제공 정보
DT_0038,굴업도,37.194444,125.995,서해북부,인천광역시,옹진군,덕적면,덕적도,22101,37.2361,126.0188,HM(상대습도),덕적도,22101,37.2361,126.0188,HM(상대습도)
DT_0039,왕돌초,36.7191666666667,129.7325,동해남부,경상북도,울진군,후포면 후포리,울진,22190,36.9069,129.8744,HM(상대습도),왕돌초,132129,36.71667,129.735,PA(해면기압)
DT_0040,독도,37.238889,131.867222,동해중부,경상북도,울릉군,독도이사부길,독도,22441,37.237,131.8698,TW(해수면온도),울릉도,21229,37.4554,131.1144,HM(상대습도)
DT_0041,복사초,34.0983333333333,126.168333333333,서해남부,전라남도,신안군,흑산면,추자도,22468,33.9723,126.2785,TW(해수면온도),추자도,680050,33.95861111,126.3022222,PA(해면기압)
DT_0042,교본초,34.7047222222222,128.306388888889,남해동부,경상남도,여수시,삼산면,연화도,22499,34.674,128.3655,TW(해수면온도),교본초,650940,34.70167,128.31,PA(해면기압)
DT_0043,영흥도,37.2386111111111,126.428611111111,서해북부,인천광역시,옹진군,영흥면,풍도,22303,37.15833,126.41,HM(상대습도),영흥도,409870,37.2367,126.4314,PA(해면기압)
DT_0044,영종대교,37.545556,126.584444,서해북부,인천광역시,중구,중산동,장봉도,22496,37.49,126.3528,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0045,격렬비열도,36.624369,125.561964,서해중부,충청남도,태안군,근흥면 가의도리,외연도,22108,36.25,125.75,HM(상대습도),외연도,22108,36.25,125.75,HM(상대습도)
DT_0046,쌍정초,37.556161,130.939211,동해중부,경상북도,울릉군,저동리,혈암,22442,37.541,130.8542,TW(해수면온도),울릉도,799801,37.49333333,130.9138889,PA(해면기압)
DT_0047,도농탄,33.158056,126.274722,남해서부,제주특별자치도,서귀포시,가파리,가파도,22476,33.1625,126.263,TW(해수면온도),모슬포,699835,33.21444444,126.2511111,PA(해면기압)
DT_0048,속초등표,38.199478,128.613083,동해중부,강원특별자치도,속초시,청호해안길 (동해안 자전거길),토성,22471,38.2768,128.5755,TW(해수면온도),속초,217800,38.20444444,128.5966667,PA(해면기압)
DT_0049,광양,34.903672,127.754836,남해서부,전라남도,광양시,제철로 1800,남해,22498,34.6963,127.993,TW(해수면온도),광양,545711,34.90342,127.75483,PA(해면기압)
DT_0050,태안,36.9130555555556,126.238888888889,서해중부,충청남도,태안군,발전로,장안퇴,22509,37.033,126.2828,TW(해수면온도),태안,357914,36.9133,126.2386,PA(해면기압)
DT_0051,서천마량,36.1288888888889,126.495277777778,서해중부,충청남도,서천군,마량리,서천,22473,36.1668,126.333,TW(해수면온도),서천(마량),325894,36.1286,126.4956,PA(해면기압)
DT_0052,인천송도,37.3380555555556,126.586111111111,서해북부,인천광역시,연수구,송도동,풍도,22303,37.15833,126.41,HM(상대습도),인천(송도),406800,37.3381,126.5861,PA(해면기압)
DT_0054,진해,35.147222,128.643056,남해동부,경상남도,창원시,충장로,이수도,22513,34.9728,128.7577,TW(해수면온도),진해군항,645600,35.14722,128.64306,PA(해면기압)
DT_0056,부산항신항,35.0775,128.784722,남해동부,경상남도,창원시,진해구 웅동2동,이수도,22513,34.9728,128.7577,TW(해수면온도),부산신항,516090,35.0744,128.7869,PA(해면기압)
DT_0057,동해항,37.494722,129.143889,동해남부,강원특별자치도,동해시,갯목길,맹방,22479,37.4013,129.2292,TW(해수면온도),동해항,240130,37.495,129.1439,PA(해면기압)
DT_0058,경인항,37.560833,126.601111,서해북부,,인천광역시,갑문1로,장봉도,22496,37.49,126.3528,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0059,백령도,37.95565,124.736081,서해북부,,옹진군,백령로,연평도,22522,37.619,125.6483,TW(해수면온도),백령도,23102,37.9556,124.7361,PA(해면기압)
DT_0060,연평도,37.657669,125.714417,서해북부,,옹진군,연평리,연평도,22522,37.619,125.6483,TW(해수면온도),연평도,23108,37.6577,125.7144,PA(해면기압)
DT_0061,삼천포,34.924167,128.069722,남해동부,경상남도,사천시,어시장길,두미도,22450,34.7092,128.1495,TW(해수면온도),삼천포,52565,34.924056,128.069722,PA(해면기압)
DT_0062,마산,35.1975,128.576389,남해동부,경상남도,창원시,제2부두로,이수도,22513,34.9728,128.7577,TW(해수면온도),마산,630651,35.19694444,128.58,PA(해면기압)
DT_0063,가덕도,35.024178,128.810933,남해동부,,부산광역시,가덕해안로,이수도,22513,34.9728,128.7577,TW(해수면온도),가덕도,618440,35.02166667,128.8130556,PA(해면기압)
DT_0064,교동대교,37.789611,126.339611,서해북부,,인천광역시,교동대교,볼음도,22525,37.6115,126.134,TW(해수면온도),인천,400031,37.44916667,126.5941667,PA(해면기압)
DT_0065,덕적도,37.226333,126.156556,서해북부,,옹진군,덕적북로,이작도,22461,37.1648,126.2067,TW(해수면온도),덕적도,22101,37.2361,126.0188,HM(상대습도)
DT_0067,안흥,36.6746388888889,126.129555555556,서해중부,충청남도,태안군,마도길,신진도,22444,36.6048,126.1265,TW(해수면온도),안흥,357945,36.67,126.135,PA(해면기압)
DT_0068,위도,35.6180844444444,126.301815833333,서해중부,전북특별자치도,부안군,위도로 2,위도,22504,35.6582,126.2613,TW(해수면온도),위도,579911,35.6153,126.3039,PA(해면기압)
DT_0091,포항,36.051777,129.376277,동해남부,경상북도,포항시,동해안 자전거길,월포,22490,36.2167,129.4013,TW(해수면온도),포항,37716,36.01777778,129.3991667,PA(해면기압)
DT_0092,여호항,34.661944,127.469167,남해서부,전라남도,고흥군,여호리,나로도,22502,34.4322,127.5892,TW(해수면온도),고흥,548893,34.47666667,127.3475,PA(해면기압)
DT_0093,소무의도,37.373069,126.440066,서해북부,,인천광역시,소무의로16번길,장봉도,22496,37.49,126.3528,TW(해수면온도),서수도,955,37.325,126.3933333,PA(해면기압)
DT_0094,서거차도,34.25142222,125.915449999,서해남부,전라남도,진도군,서거차도2길,맹골수도,22481,34.2265,125.9543,TW(해수면온도),해수서,959,34.26333333,126.0266667,PA(해면기압)
IE_0060,이어도,32.1227777777778,125.182222222222,남해서부,제주,서귀포시 대정읍,가파리,남해239,22300,32.83,124.73,HM(상대습도),남해239,22300,32.83,124.73,HM(상대습도)
IE_0061,신안가거초,33.941944,124.592778,서해남부,전라남도,신안군 흑산면,가거도리,홍도,22298,34.746667,125.245556,HM(상대습도),홍도,22298,34.746667,125.245556,HM(상대습도)
IE_0062,옹진소청초,37.423056,124.738056,서해북부,인천광역시,옹진군 영흥면,외리 1133-18,인천,22185,37.0917,125.4289,HM(상대습도),백령도,23102,37.9556,124.7361,PA(해면기압)
